z_index  z  Dang[Mpc]  mass[Msun]  conc  r_trunc[Mpc]  r200[Mpc]  r200[deg]  ngal  mstar  alpha
201  2.03  1724.91  4.1684e+14  2.87014  2.21865  0.739552  0.0245654  68.9453  25.5099  -1
202  2.04  1723.92  4.20661e+14  2.86552  2.21865  0.739552  0.0245796  69.444  25.5202  -1
203  2.05  1722.91  4.24506e+14  2.86092  2.21865  0.739552  0.024594  69.9451  25.5297  -1
204  2.06  1721.88  4.28377e+14  2.85635  2.21865  0.739552  0.0246087  70.4484  25.538  -1
205  2.07  1720.84  4.32273e+14  2.85179  2.21865  0.739552  0.0246236  70.9542  25.5477  -1
206  2.08  1719.78  4.36195e+14  2.84726  2.21865  0.739552  0.0246387  71.4622  25.5572  -1
207  2.09  1718.72  4.40142e+14  2.84275  2.21865  0.739552  0.024654  71.9726  25.5682  -1
208  2.1  1717.64  4.44115e+14  2.83825  2.21865  0.739552  0.0246695  72.4853  25.5782  -1
209  2.11  1716.54  4.48114e+14  2.83378  2.21865  0.739552  0.0246852  73.0004  25.5893  -1
210  2.12  1715.44  4.52138e+14  2.82933  2.21865  0.739552  0.0247011  73.5179  25.6004  -1
211  2.13  1714.32  4.56188e+14  2.82489  2.21865  0.739552  0.0247172  74.0376  25.6116  -1
212  2.14  1713.19  4.60265e+14  2.82048  2.21865  0.739552  0.0247336  74.5598  25.6227  -1
213  2.15  1712.04  4.64367e+14  2.81609  2.21865  0.739552  0.0247501  75.0843  25.6338  -1
214  2.16  1710.89  4.68495e+14  2.81171  2.21865  0.739552  0.0247668  75.6111  25.6449  -1
215  2.17  1709.72  4.7265e+14  2.80736  2.21865  0.739552  0.0247837  76.1404  25.656  -1
216  2.18  1708.54  4.76831e+14  2.80302  2.21865  0.739552  0.0248008  76.6719  25.6671  -1
217  2.19  1707.36  4.81038e+14  2.79871  2.21865  0.739552  0.024818  77.2059  25.6782  -1
218  2.2  1706.16  4.85272e+14  2.79441  2.21865  0.739552  0.0248355  77.7422  25.6893  -1
